id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3Lbh8U2HMWa1CD7GK5wEQf,0.277,0.0456,10,-21.903,0,0.0529,0.984,0.928,0.107,0.0398,99.421,3
6AqFR4UHMbdlMPcJGrynXV,0.589,0.274,2,-12.442,1,0.031,0.302,0.000829,0.107,0.23,95.666,4
0DPdnWavHdhB5hJ6O0qS6d,0.833,0.716,9,-11.265,1,0.04,0.533,0.0,0.058,0.9,104.8,4
35b08f3X5XiuTV0oJHZB9g,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43e-05,0.0929,0.101,94.578,1
0bCWfvj8dDqCcN0WgTJLYZ,0.513,0.956,5,-5.407,0,0.159,0.00381,0.0,0.391,0.458,150.181,4
49wHCjiu34kM3VRgumQ1tJ,0.54,0.746,7,-9.412,1,0.045,0.13,8.73e-06,0.0976,0.826,163.809,4
3h5nkI3ot07u8h03T15hfi,0.705,0.862,0,-5.962,0,0.0921,0.0884,0.918,0.26,0.424,125.303,4
1DuPTyxPS2oiZMgLAF11gj,0.664,0.503,11,-7.85,0,0.159,0.377,0.0,0.387,0.404,113.97,4
3s1Lfb2qxTL9r2apOFfIYD,0.324,0.948,9,-4.609,1,0.0522,8.85e-06,0.561,0.165,0.342,90.542,4
37uhDMKdcqZbj80LGZCHPN,0.506,0.832,7,-3.913,1,0.0596,0.00154,2.15e-05,0.087,0.32,140.903,4
4hbJyXBh8guWXuPJvFCEr8,0.669,0.932,2,-5.19,1,0.0404,0.0761,0.0,0.191,0.835,119.986,4
2VbIou1DtUewZVgfte6kIW,0.604,0.808,0,-6.135,0,0.0438,0.0126,0.0813,0.484,0.369,128.958,4
12VTgfn13lUx12D7MOYfsn,0.515,0.491,5,-11.1,0,0.0274,0.869,0.564,0.0977,0.223,146.908,4
3sUtDNoHKdFV4WXShozY22,0.652,0.515,11,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969,1
0JvAFT6V106SHfkyVwhf4J,0.664,0.535,7,-7.348,1,0.05,0.465,1.57e-06,0.27,0.361,85.154,4
5nA5iMVDBrqmWNOrhIQSjz,0.435,0.51,0,-6.074,1,0.0363,0.164,2.12e-05,0.183,0.409,85.635,4
3MXQxodwNHbcBL0JOFy7WB,0.677,0.772,3,-7.438,1,0.424,0.303,2.15e-05,0.299,0.721,148.163,4
2a5IHHhUeoLnmkLLUU1XCl,0.552,0.898,0,-5.593,1,0.0773,0.0736,0.000156,0.407,0.457,177.685,4
47cNDW1xyM03mT2kseO41a,0.566,0.663,8,-9.068,1,0.0278,0.0945,0.294,0.0915,0.762,91.108,4
1mww40cWQK873rdKklWP7r,0.875,0.63,2,-10.452,0,0.2,0.761,0.000136,0.0715,0.819,109.977,4
0bCWfvj8dDqCcN0WgTJLYZ,0.513,0.956,5,-5.407,0,0.159,0.00381,0.0,0.391,0.458,150.181,4
4vFVZyn6RdvrXpeEqsTas6,0.567,0.666,0,-9.647,1,0.0298,0.0244,0.251,0.107,0.251,106.001,4
4TUqDLaBxUQHphes04Kp5k,0.724,0.61,7,-10.025,1,0.0358,0.413,0.0651,0.243,0.591,123.985,4
3h1iu4HvBlLqRuft2kJEcr,0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.509,4
0WIbzDVEpmOyBnqqdtqIL9,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395,4
5aqsZYOE5bP1cY4sSaw0Jq,0.825,0.569,5,-8.334,0,0.0483,0.0617,0.776,0.094,0.502,123.013,4
